entry,month,day,year,year_day,date,high_temp_F,low_temp_F,relative_humidity,soil_temp_F,wind_speed_mph,solar_langley,precip_in,ET_in,location
19,1,19,2017,19,1/19/17,42.037,30.349,98.121,32.24,3.722,55.488,0,0.003,Memphis
20,1,20,2017,20,1/20/17,42.886,36.246,100,33.074,4.831,32.664,0,0,Memphis
21,1,21,2017,21,1/21/17,51.278,30.096,91.321,34.878,4.655,222.444,0,0.033,Memphis
22,1,22,2017,22,1/22/17,38.502,27.606,95.785,32.663,7.341,114.249,0,0.011,Memphis
23,1,23,2017,23,1/23/17,38.372,28.155,89.807,32.944,5.862,135.229,0,0.02,Memphis
24,1,24,2017,24,1/24/17,35.514,28.645,95.641,32.627,10.625,57.844,0,0.009,Memphis
25,1,25,2017,25,1/25/17,31.557,22.298,94.944,32.642,12.572,154.418,0,0.018,Memphis
26,1,26,2017,26,1/26/17,27.228,15.782,85.833,32.724,9.843,188.737,0,0.03,Memphis
27,1,27,2017,27,1/27/17,35.879,8.834,78.665,32.754,10.856,235.608,0,0.066,Memphis
28,1,28,2017,28,1/28/17,38.197,28.033,80.724,32.77,11.652,163.839,0,0.054,Memphis
29,1,29,2017,29,1/29/17,42.453,27.118,88.864,32.983,6.555,121.308,0,0.026,Memphis
30,1,30,2017,30,1/30/17,55.004,25.533,70.932,34.542,8.432,223.44,0,0.099,Memphis
31,1,31,2017,31,1/31/17,42.337,30.9,78.682,34.595,5.946,97.185,0,0.037,Memphis
32,2,1,2017,32,2/1/17,33.073,19.918,75.166,33.292,9.756,85.987,0,0.046,Memphis
33,2,2,2017,33,2/2/17,25.288,15.656,65.145,32.261,7.11,182.052,0,0.044,Memphis
34,2,3,2017,34,2/3/17,30.938,17.114,65.657,31.581,6.526,272.72,0,0.055,Memphis
35,2,4,2017,35,2/4/17,49.64,22.176,61.342,31.28,12.425,266.123,0,0.139,Memphis
36,2,5,2017,36,2/5/17,36.124,18.765,73.26,31.83,5.831,237.759,0,0.049,Memphis
37,2,6,2017,37,2/6/17,47.084,23.031,89.804,31.838,4.89,134.84,0,0.03,Memphis
38,2,7,2017,38,2/7/17,41.979,18.759,83.02,32.121,12.693,118.965,0,0.057,Memphis
39,2,8,2017,39,2/8/17,19.004,4.388,82.06,32.175,9.964,266.479,0,0.032,Memphis
40,2,9,2017,40,2/9/17,30.231,5.846,71.172,32.028,7.597,215.7,0,0.053,Memphis
41,2,10,2017,41,2/10/17,65.768,25.837,67.539,32.054,5.839,216.228,0,0.118,Memphis
42,2,11,2017,42,2/11/17,56.588,32.713,80.324,36.056,8.431,188.099,0,0.079,Memphis
43,2,12,2017,43,2/12/17,48.362,22.604,62.242,37.04,8.024,298.249,0,0.11,Memphis
44,2,13,2017,44,2/13/17,51.944,21.76,58.933,35.087,7.402,242.133,0,0.116,Memphis
45,2,14,2017,45,2/14/17,49.388,26.996,73.441,35.481,7.921,280.653,0,0.088,Memphis
46,2,15,2017,46,2/15/17,53.78,25.594,63.335,36.851,6.21,315.566,0,0.108,Memphis
47,2,16,2017,47,2/16/17,70.52,30.34,50.063,39.213,5.413,280.869,0,0.162,Memphis
48,2,17,2017,48,2/17/17,73.382,35.029,50.341,41.687,7.623,326.493,0,0.212,Memphis
49,2,18,2017,49,2/18/17,66.02,26.082,58.251,43.308,3.863,333.224,0,0.124,Memphis
50,2,19,2017,50,2/19/17,72.176,37.953,71.027,45.483,9.31,269.84,0,0.168,Memphis
51,2,20,2017,51,2/20/17,62.06,34.477,87.16,48.711,7.733,87.346,0,0.061,Memphis
52,2,21,2017,52,2/21/17,73.742,27.424,53.622,45.342,7.87,346.548,0,0.226,Memphis
53,2,22,2017,53,2/22/17,72.896,37.526,49.116,48.322,8.597,342.977,0,0.232,Memphis
54,2,23,2017,54,2/23/17,46.544,31.318,91.568,43.093,14.38,49.379,0.392,0.03,Memphis
55,2,24,2017,55,2/24/17,32.355,21.445,92.607,36.688,16.504,196.949,0,0.033,Memphis
56,2,25,2017,56,2/25/17,32.952,11.21,78.598,35.209,6.941,354.773,0,0.06,Memphis
57,2,26,2017,57,2/26/17,43.547,22.786,67.942,36.202,5.431,377.078,0,0.087,Memphis
58,2,27,2017,58,2/27/17,54.878,21.094,67.905,36.535,5.978,267.408,0,0.104,Memphis
59,2,28,2017,59,2/28/17,46.065,29.719,90.046,38.455,7.883,96.026,0,0.032,Memphis
60,3,1,2017,60,3/1/17,43.432,21.445,71.937,38.17,12.495,296.164,0,0.108,Memphis
61,3,2,2017,61,3/2/17,44.526,17.863,73.122,36.558,6.101,373.703,0,0.085,Memphis
62,3,3,2017,62,3/3/17,53.726,19.623,59.052,36.543,9.522,358.3,0,0.164,Memphis
63,3,4,2017,63,3/4/17,72.23,25.837,48.54,40.804,10.196,368.417,0,0.285,Memphis
64,3,5,2017,64,3/5/17,68.702,49.766,72.688,47.937,14.837,216.991,0,0.152,Memphis
65,3,6,2017,65,3/6/17,77.486,38.136,58.537,51.673,22.037,313.88,0,0.278,Memphis
66,3,7,2017,66,3/7/17,55.85,29.682,39.871,42.171,13.071,378.067,0,0.242,Memphis
67,3,8,2017,67,3/8/17,55.904,25.655,39.622,42.006,5.084,401.726,0,0.156,Memphis
68,3,9,2017,68,3/9/17,50.252,26.143,51.809,41.304,11.297,310.441,0,0.178,Memphis
69,3,10,2017,69,3/10/17,26.753,16.16,50.037,35.432,10.261,144.676,0,0.082,Memphis
70,3,11,2017,70,3/11/17,31.073,21.871,62.171,34.926,7.319,134.766,0,0.06,Memphis
71,3,12,2017,71,3/12/17,41.673,24.616,69.048,36.05,12.589,148.291,0,0.095,Memphis
72,3,13,2017,72,3/13/17,27.849,20.163,83.089,34.772,16.222,207.053,0,0.047,Memphis
73,3,14,2017,73,3/14/17,31.977,18.889,78.006,34.125,5.536,254.711,0,0.049,Memphis
74,3,15,2017,74,3/15/17,39.538,20.055,62.776,33.972,10.497,252.592,0,0.104,Memphis
75,3,16,2017,75,3/16/17,67.244,28.827,57.803,40.857,10.903,394.009,0,0.246,Memphis
76,3,17,2017,76,3/17/17,68.396,34.903,49.315,47.177,9.937,401.701,0,0.256,Memphis
77,3,18,2017,77,3/18/17,58.352,26.935,42.889,45.354,5.49,349.202,0,0.162,Memphis
78,3,19,2017,78,3/19/17,84.182,41.857,41.829,50.006,9.319,410.869,0,0.348,Memphis
79,3,20,2017,79,3/20/17,66.686,46.652,52.075,52.541,10.97,406.904,0,0.251,Memphis
80,3,21,2017,80,3/21/17,47.462,36.124,60.901,48.396,11.488,276.207,0,0.147,Memphis
81,3,22,2017,81,3/22/17,50.99,31.622,47.451,45.774,12.065,285.617,0,0.196,Memphis
82,3,23,2017,82,3/23/17,75.83,43.191,52.104,49.435,14.588,157.016,0.232,0.257,Memphis
83,3,24,2017,83,3/24/17,69.44,40.881,91.817,49.52,12.472,40.169,0.654,0.07,Memphis
84,3,25,2017,84,3/25/17,41.491,38.808,96.959,43.669,12.504,57.6,0.278,0.011,Memphis
85,3,26,2017,85,3/26/17,48.056,38.93,93.414,44.762,5.281,110.751,0,0.025,Memphis
86,3,27,2017,86,3/27/17,50.684,39.538,84.631,47.045,5.407,145.142,0,0.047,Memphis
87,3,28,2017,87,3/28/17,49.226,38.259,87.076,45.827,6.18,101.452,0.36,0.037,Memphis
88,3,29,2017,88,3/29/17,46.724,40.698,96.113,45.548,14.313,68.203,0.778,0.018,Memphis
89,3,30,2017,89,3/30/17,44.348,39.538,95.431,43.866,13.593,85.416,0,0.021,Memphis
90,3,31,2017,90,3/31/17,54.878,39.722,81.735,46.819,7.807,282.838,0,0.093,Memphis
91,4,1,2017,91,4/1/17,47.57,39.844,87.588,45.705,5.635,124.374,0,0.037,Memphis
92,4,2,2017,92,4/2/17,53.042,42.651,94.494,47.496,4.141,111.016,0,0.025,Memphis
93,4,3,2017,93,4/3/17,59.324,46.11,87.402,50.858,8.976,216.509,0,0.078,Memphis
94,4,4,2017,94,4/4/17,57.866,44.713,74.333,50.659,9.641,281.928,0,0.127,Memphis
95,4,5,2017,95,4/5/17,58.406,41.247,60.669,48.741,11.451,346.815,0,0.194,Memphis
96,4,6,2017,96,4/6/17,57.182,31.375,57.103,49.614,8.812,545.218,0,0.209,Memphis
97,4,7,2017,97,4/7/17,64.922,26.143,55.257,49.77,9.739,422.757,0,0.24,Memphis
98,4,8,2017,98,4/8/17,77.288,45.27,61.566,55.113,9.46,402.629,0,0.255,Memphis
99,4,9,2017,99,4/9/17,78.998,50.684,71.398,58.296,9.042,316.758,0,0.2,Memphis
100,4,10,2017,100,4/10/17,54.338,33.631,85.574,51.156,9.924,208.573,0,0.084,Memphis
101,4,11,2017,101,4/11/17,64.364,25.045,59.619,50.859,5.519,540.994,0,0.195,Memphis
102,4,12,2017,102,4/12/17,70.232,44.298,71.585,51.918,8.127,157.462,0.09,0.131,Memphis
103,4,13,2017,103,4/13/17,77.72,45.928,75.165,59.01,4.73,438.741,0.01,0.175,Memphis
104,4,14,2017,104,4/14/17,71.384,59.144,86.27,59.228,10.802,104.5,0.63,0.08,Memphis
105,4,15,2017,105,4/15/17,76.802,56.948,77.497,61.914,8.188,339.463,0.27,0.167,Memphis
106,4,16,2017,106,4/16/17,71.024,46.85,56.898,58.39,6.76,412.896,0,0.209,Memphis
107,4,17,2017,107,4/17/17,72.842,42.832,63.829,58.875,5.294,550.557,0,0.214,Memphis
108,4,18,2017,108,4/18/17,72.05,55.67,78.754,59.775,8.364,203.663,0.22,0.12,Memphis
109,4,19,2017,109,4/19/17,78.764,48.308,86.117,58.773,10.998,144.295,0.21,0.13,Memphis
110,4,20,2017,110,4/20/17,61.934,41.734,73.262,56.598,9.751,426.279,0,0.175,Memphis
111,4,21,2017,111,4/21/17,57.02,39.418,68.819,52.216,8.257,231.692,0,0.123,Memphis
112,4,22,2017,112,4/22/17,66.02,40.759,53.006,56.248,6.756,532.542,0,0.228,Memphis
113,4,23,2017,113,4/23/17,72.608,34.677,44.656,58.063,7.773,561.169,0,0.297,Memphis
114,4,24,2017,114,4/24/17,75.038,47.894,47.979,59.789,13.851,483.172,0,0.339,Memphis
115,4,25,2017,115,4/25/17,54.086,38.44,82.769,55.292,12.433,123.754,0.1,0.079,Memphis
116,4,26,2017,116,4/26/17,42.832,35.64,80.255,47.717,12.574,156.052,0,0.072,Memphis
117,4,27,2017,117,4/27/17,58.964,36.673,63.316,53.314,5.91,471.742,0,0.166,Memphis
118,4,28,2017,118,4/28/17,49.46,37.099,89.815,49.449,12.057,79.387,0.27,0.043,Memphis
119,4,29,2017,119,4/29/17,46.116,39.479,83.267,46.51,15.642,108.302,0.03,0.061,Memphis
120,4,30,2017,120,4/30/17,42.283,37.771,97.087,44.737,16.969,55.735,1.06,0.012,Memphis
121,5,1,2017,121,5/1/17,56.282,34.66,80.135,46.974,12.173,359.935,0.09,0.141,Memphis
122,5,2,2017,122,5/2/17,65.894,41.673,63.425,54.206,5.96,574.117,0,0.209,Memphis
123,5,3,2017,123,5/3/17,64.436,44.236,75.268,54.859,4.771,298.678,0.08,0.114,Memphis
124,5,4,2017,124,5/4/17,69.008,41.308,56.894,56.131,9.427,571.07,0,0.276,Memphis
125,5,5,2017,125,5/5/17,76.622,37.222,49.999,60.156,5.645,613.771,0,0.279,Memphis
126,5,6,2017,126,5/6/17,78.764,49.892,41.411,64.326,5.853,618.873,0,0.306,Memphis
127,5,7,2017,127,5/7/17,85.712,50.144,44.632,66.183,9.804,599.617,0,0.408,Memphis
128,5,8,2017,128,5/8/17,91.688,63.23,49.785,70.589,10.474,539.323,0,0.409,Memphis
129,5,9,2017,129,5/9/17,80.348,56.66,59.528,70.485,7.439,535.468,0,0.277,Memphis
130,5,10,2017,130,5/10/17,63.482,53.492,88.446,62.793,8.11,99.197,0.89,0.053,Memphis
131,5,11,2017,131,5/11/17,68.954,50.63,68.104,60.55,7.904,411.959,0,0.192,Memphis
132,5,12,2017,132,5/12/17,74.912,52.214,47.79,61.781,4.567,672.483E,0,0.273,Memphis
133,5,13,2017,133,5/13/17,81.068,46.976,46.542,65.293,7.555,711.549,0,0.362,Memphis
134,5,14,2017,134,5/14/17,87.836,58.838,54.31,69.489,7.75,655.088,0.03,0.358,Memphis
135,5,15,2017,135,5/15/17,92.714,58.226,56.39,72.069,7.364,518.903,0,0.331,Memphis
136,5,16,2017,136,5/16/17,91.076,60.242,67.359,73.286,9.789,548.677,1.38,0.334,Memphis
137,5,17,2017,137,5/17/17,74.426,56.102,86.137,66.628,11.576,318.428,0.33,0.151,Memphis
138,5,18,2017,138,5/18/17,63.284,52.214,81.369,61.582,11.749,274.475,0.51,0.131,Memphis
139,5,19,2017,139,5/19/17,54.464,47.336,97.086,57.894,12.02,168.504,0.9,0.041,Memphis
140,5,20,2017,140,5/20/17,54.032,44.476,93.668,55.745,9.844,196.658,1.3,0.056,Memphis
141,5,21,2017,141,5/21/17,66.56,42.345,64.606,57.052,9.465,688.206,0.01,0.273,Memphis
142,5,22,2017,142,5/22/17,72.482,48.668,72.271,60.6,5.543,467.224,0.94,0.185,Memphis
143,5,23,2017,143,5/23/17,58.226,47.822,80.123,57.799,7.45,298.333,0,0.11,Memphis
144,5,24,2017,144,5/24/17,67.73,46.31,69.789,59.853,5.721,636.916,0,0.218,Memphis
145,5,25,2017,145,5/25/17,77.9,48.38,62.947,63.184,7.843,527.891,0,0.266,Memphis
146,5,26,2017,146,5/26/17,80.348,59.936,56.476,69.522,5.506,627.778,0,0.282,Memphis
147,5,27,2017,147,5/27/17,75.218,55.184,68.757,68.311,5.868,474.576,0.08,0.205,Memphis
148,5,28,2017,148,5/28/17,81.572,48.668,49.413,68.591,6.166,587.928,0,0.302,Memphis
149,5,29,2017,149,5/29/17,74.498,50.504,48.481,68.943,6.752,651.691,0,0.302,Memphis
150,5,30,2017,150,5/30/17,79.916,44.06,42.707,69.15,5.598,669.482,0,0.319,Memphis
151,5,31,2017,151,5/31/17,76.496,45.878,49.153,69.687,2.921,541.043,0,0.217,Memphis
152,6,1,2017,152,6/1/17,84.362,51.602,63.558,71.335,5.32,555.091,0,0.26,Memphis
153,6,2,2017,153,6/2/17,90.518,65.48,58.334,75.389,6.884,602.901,0,0.328,Memphis
154,6,3,2017,154,6/3/17,89.618,60.548,58.303,77.071,4.177,663.321,0,0.297,Memphis
155,6,4,2017,155,6/4/17,91.688,62.258,57.176,78.963,2.392,582.052,0,0.251,Memphis
156,6,5,2017,156,6/5/17,93.704,59.27,42.702,79.339,4.131,661,0,0.336,Memphis
157,6,6,2017,157,6/6/17,84.254,62.798,47.021,77.746,5.47,608.475,0,0.31,Memphis
158,6,7,2017,158,6/7/17,84.74,56.426,45.328,76.802,4.188,621.438,0,0.291,Memphis
159,6,8,2017,159,6/8/17,87.602,56.3,44.208,77.159,4.828,636.602,0,0.32,Memphis
160,6,9,2017,160,6/9/17,90.338,60.008,50.434,77.772,8.364,652.483,0,0.393,Memphis
161,6,10,2017,161,6/10/17,93.218,69.98,62.891,78.936,13.277,590.046,0,0.391,Memphis
162,6,11,2017,162,6/11/17,95.162,72.968,60.282,80.061,13.773,560.26,0,0.401,Memphis
163,6,12,2017,163,6/12/17,84.56,69.314,78.675,75.718,7.31,146.802,0.15,0.119,Memphis
164,6,13,2017,164,6/13/17,91.022,67.604,67.71,76.902,12.851,570.051,0.01,0.355,Memphis
165,6,14,2017,165,6/14/17,86.864,63.968,70.012,76.626,5.923,600.737,0.37,0.271,Memphis
166,6,15,2017,166,6/15/17,94.37,60.008,58.597,77.449,4.578,618.427,0,0.307,Memphis
167,6,16,2017,167,6/16/17,90.824,65.984,72.571,78.561,7.157,547.4,0.99,0.276,Memphis
168,6,17,2017,168,6/17/17,82.778,59.882,81.906,75.133,5.11,397.091,0.01,0.166,Memphis
169,6,18,2017,169,6/18/17,79.988,57.578,56.814,73.191,6.868,679.824,0,0.312,Memphis
170,6,19,2017,170,6/19/17,84.848,58.118,49.887,75.802,4.384,683.924,0,0.303,Memphis
171,6,20,2017,171,6/20/17,92.354,58.424,47.462,77.731,4.69,668.153,0,0.336,Memphis
172,6,21,2017,172,6/21/17,95.954,66.65,51.929,79.449,9.797,614.404,0,0.429,Memphis
173,6,22,2017,173,6/22/17,90.464,71.204,59.256,79.967,8.519,484.392,0,0.315,Memphis
174,6,23,2017,174,6/23/17,74.678,53.852,60.862,74.808,6.95,465.642,0,0.23,Memphis
175,6,24,2017,175,6/24/17,80.474,46.976,42.668,71.44,6.21,619.203,0,0.319,Memphis
176,6,25,2017,176,6/25/17,76.136,48.542,48.746,72.688,4.522,706.37,0,0.28,Memphis
177,6,26,2017,177,6/26/17,76.802,54.59,65.149,73.591,4.261,600.475,0,0.228,Memphis
178,6,27,2017,178,6/27/17,80.888,51.062,72.358,72.475,8.644,633.525,0,0.285,Memphis
179,6,28,2017,179,6/28/17,88.754,62.492,74.3,74.768,8.629,577.049,1.13,0.288,Memphis
180,6,29,2017,180,6/29/17,84.614,66.758,78.964,75.674,5.285,492.243,0,0.203,Memphis
181,6,30,2017,181,6/30/17,79.988,58.532,77.586,74.943,4.627,511.145,0.68,0.193,Memphis
182,7,1,2017,182,7/1/17,84.254,55.13,72.213,73.81,2.951,653.784,0.01,0.235,Memphis
183,7,2,2017,183,7/2/17,82.058,63.41,83.925,72.353,3.43,235.321,0.319,0.101,Memphis
184,7,3,2017,184,7/3/17,87.782,66.866,83.796,75.082,3.132,497.273,0.79,0.187,Memphis
185,7,4,2017,185,7/4/17,85.946,64.814,81.64,76.416,3.811,607.788,0,0.224,Memphis
186,7,5,2017,186,7/5/17,87.116,62.15,75.092,78.186,2.004,654.284,0,0.232,Memphis
187,7,6,2017,187,7/6/17,92.354,67.298,75.175,80.334,5.225,605.001,0,0.268,Memphis
188,7,7,2017,188,7/7/17,80.834,63.41,67.367,78.402,5.552,447.749,0,0.211,Memphis
189,7,8,2017,189,7/8/17,87.044,57.272,74.221,77.725,2.611,584.704,0,0.219,Memphis
190,7,9,2017,190,7/9/17,91.868,66.578,70.984,80.425,6.306,619.343,0,0.294,Memphis
191,7,10,2017,191,7/10/17,90.41,72.23,70.678,82.821,5.457,611.309,0,0.278,Memphis
192,7,11,2017,192,7/11/17,93.578,71.024,73.545,83.328,6.478,519.222,0,0.263,Memphis
193,7,12,2017,193,7/12/17,84.614,71.636,82.465,79.001,4.347,177.625,0.45,0.095,Memphis
194,7,13,2017,194,7/13/17,84.182,68.45,87.039,77.282,2.409,371.668,0.36,0.134,Memphis
195,7,14,2017,195,7/14/17,86.504,65.318,80.035,78.218,2.823,612.546,0,0.222,Memphis
196,7,15,2017,196,7/15/17,90.464,66.758,78.613,80.449,3.435,617.507,0,0.241,Memphis
197,7,16,2017,197,7/16/17,93.632,67.136,72.039,81.885,2.424,606.246,0,0.245,Memphis
198,7,17,2017,198,7/17/17,91.508,68.216,69.954,82.408,4.991,630.185,0,0.282,Memphis
199,7,18,2017,199,7/18/17,89.312,71.744,82.644,81.971,5.114,510.904,0.1,0.213,Memphis
200,7,19,2017,200,7/19/17,93.452,75.218,72.674,82.83,8.497,581.914,0,0.308,Memphis
201,7,20,2017,201,7/20/17,93.938,75.902,69.332,84.449,3.973,535.039,0,0.25,Memphis
202,7,21,2017,202,7/21/17,99.788,75.596,64.975,84.892,5.403,597.247,0,0.316,Memphis
203,7,22,2017,203,7/22/17,89.924,69.944,82.644,83.983,4.923,375.423,0,0.17,Memphis
204,7,23,2017,204,7/23/17,87.728,63.788,73.334,80.88,3.563,601.119,0,0.238,Memphis
205,7,24,2017,205,7/24/17,85.046,59.342,74.056,79.306,5.107,586.005,0,0.241,Memphis
206,7,25,2017,206,7/25/17,95.342,69.872,67.956,82.279,7.53,590.3,0,0.322,Memphis
207,7,26,2017,207,7/26/17,80.834,69.404,92.945,78.582,4.433,50.154,0.67,0.029,Memphis
208,7,27,2017,208,7/27/17,82.112,65.93,78.637,77.415,5.263,576.878,0,0.223,Memphis
209,7,28,2017,209,7/28/17,82.292,63.734,77.565,76.507,2.443,460.536,0,0.168,Memphis
210,7,29,2017,210,7/29/17,83.336,63.122,78.296,77.579,3.703,555.982,0,0.207,Memphis
211,7,30,2017,211,7/30/17,82.778,62.15,73.836,77.765,2.479,492.943,0,0.183,Memphis
212,7,31,2017,212,7/31/17,81.446,61.592,76.785,76.786,2.338,437.728,0,0.159,Memphis
213,8,1,2017,213,8/1/17,85.586,63.482,75.359,77.653,2.247,511.956,0,0.19,Memphis
214,8,2,2017,214,8/2/17,85.1,61.718,79.205,78.225,2.044,468.703,0,0.169,Memphis
215,8,3,2017,215,8/3/17,74.552,52.934,76.158,75.187,7.55,430.522,0,0.187,Memphis
216,8,4,2017,216,8/4/17,78.512,48.128,66.608,71.476,2.928,588.132,0,0.209,Memphis
217,8,5,2017,217,8/5/17,67.262,58.676,88.118,69.653,4.869,141.68,0.2,0.056,Memphis
218,8,6,2017,218,8/6/17,75.416,61.538,86.817,70.86,2.797,258.983,0,0.089,Memphis
219,8,7,2017,219,8/7/17,78.332,59.108,79.62,72.579,4.37,545.549,0,0.193,Memphis
220,8,8,2017,220,8/8/17,81.266,54.464,78.32,72.589,2.834,539.482,0,0.187,Memphis
221,8,9,2017,221,8/9/17,77.972,59.162,83.965,72.387,4.16,350.138,0,0.13,Memphis
222,8,10,2017,222,8/10/17,79.862,58.496,83.163,72.495,3.533,361.37,0,0.134,Memphis
223,8,11,2017,223,8/11/17,79.916,56.12,73.853,74.239,3.389,573.514,0,0.204,Memphis
224,8,12,2017,224,8/12/17,81.14,55.382,69.927,73.465,3.978,547.607,0,0.212,Memphis
225,8,13,2017,225,8/13/17,80.708,62.456,78.617,73.783,5.384,370.21,0.21,0.16,Memphis
226,8,14,2017,226,8/14/17,85.766,65.75,77.364,76.41,2.924,518.335,0,0.195,Memphis
227,8,15,2017,227,8/15/17,86.198,65.498,83.753,75.946,7.611,394.108,1.31,0.182,Memphis
228,8,16,2017,228,8/16/17,80.582,63.374,86.312,74.284,6.302,415.481,0.26,0.159,Memphis
229,8,17,2017,229,8/17/17,81.572,60.494,75.337,73.09,5.79,566.3,0,0.226,Memphis
230,8,18,2017,230,8/18/17,84.794,61.304,77.57,75.202,3.464,548.106,0.02,0.203,Memphis
231,8,19,2017,231,8/19/17,84.668,55.922,71.737,75.801,4.488,539.279,0,0.222,Memphis
232,8,20,2017,232,8/20/17,83.21,64.166,80.251,75.91,6.884,454.344,0.22,0.196,Memphis
233,8,21,2017,233,8/21/17,83.57,65.192,87.134,74.644,8.513,327.539,0.74,0.149,Memphis
234,8,22,2017,234,8/22/17,75.47,54.41,73.186,73.342,3.959,560.123,0.01,0.193,Memphis
235,8,23,2017,235,8/23/17,78.89,51.962,75.34,71.581,2.85,531.099,0,0.18,Memphis
236,8,24,2017,236,8/24/17,80.276,57.704,76.221,72.738,6.391,455.432,0,0.195,Memphis
237,8,25,2017,237,8/25/17,81.14,62.078,80.151,72.089,8.666,437.632,1.28,0.198,Memphis
238,8,26,2017,238,8/26/17,85.838,64.778,81.963,73.391,5.099,402.575,0,0.168,Memphis
239,8,27,2017,239,8/27/17,81.014,62.942,84.577,75.448,4.208,421.266,0.02,0.151,Memphis
240,8,28,2017,240,8/28/17,76.928,55.742,79.984,73.557,4.147,503.718,0,0.171,Memphis
241,8,29,2017,241,8/29/17,77.792,53.438,80.727,72.702,1.669,464.42,0,0.143,Memphis
242,8,30,2017,242,8/30/17,80.528,53.744,79.67,73.074,1.535,495.751,0,0.156,Memphis
243,8,31,2017,243,8/31/17,82.112,56.912,79.186,74.411,1.802,499.44,0,0.163,Memphis
244,9,1,2017,244,9/1/17,78.152,61.052,88.379,73.129,5.148,293.108,0,0.108,Memphis
245,9,2,2017,245,9/2/17,82.166,62.024,84.97,74.58,3.859,451.507,0,0.158,Memphis
246,9,3,2017,246,9/3/17,87.242,57.326,79.29,74.851,4.662,450.755,0,0.188,Memphis
247,9,4,2017,247,9/4/17,76.262,57.092,74.456,73.822,6.023,329.967,0,0.151,Memphis
248,9,5,2017,248,9/5/17,69.62,47.768,65.012,69.681,6.98,487.044,0,0.201,Memphis
249,9,6,2017,249,9/6/17,70.772,43.646,69.755,67.829,3.601,466.974,0,0.156,Memphis
250,9,7,2017,250,9/7/17,80.474,42.548,64.359,68.429,2.477,481.685,0,0.177,Memphis
251,9,8,2017,251,9/8/17,85.892,50.252,69.339,71.998,2.722,467.454,0,0.183,Memphis
252,9,9,2017,252,9/9/17,84.182,55.328,68.201,72.5,4.577,335.413,0,0.17,Memphis
253,9,10,2017,253,9/10/17,83.516,62.888,71.631,71.919,5.83,240.381,0,0.147,Memphis
254,9,11,2017,254,9/11/17,84.74,57.092,69.26,73.26,3.643,422.759,0,0.178,Memphis
255,9,12,2017,255,9/12/17,84.254,54.95,71.955,74.436,1.695,434.294,0,0.152,Memphis
256,9,13,2017,256,9/13/17,87.602,52.934,66.974,74.451,2.953,381.829,0,0.17,Memphis
257,9,14,2017,257,9/14/17,94.064,63.734,50.253,75.28,7.929,413.47,0,0.318,Memphis
258,9,15,2017,258,9/15/17,92.426,60.746,60.34,76.353,8.129,388.172,0,0.28,Memphis
259,9,16,2017,259,9/16/17,74.57,54.77,93.2,70.921,5.935,59.128,0.92,0.037,Memphis
260,9,17,2017,260,9/17/17,70.178,46.562,72.034,64.997,4.622,356.763,0,0.134,Memphis
261,9,18,2017,261,9/18/17,74.678,61.718,94.691,67.43,5.073,116.189,0.32,0.04,Memphis
262,9,19,2017,262,9/19/17,89.366,65.192,75.186,70.978,11.554,396.982,0,0.252,Memphis
263,9,20,2017,263,9/20/17,78.782,59.216,63.201,73.115,6.05,443.391,0,0.204,Memphis
264,9,21,2017,264,9/21/17,92.066,58.856,70.482,73.695,9.67,382.075,0,0.266,Memphis
